area_code,area_name,pref_name,area_level,pop_1980,pop_2000,pop_2010,pop_2020,pop_latest,pop_latest_year,pop_chg_1980_2020,pop_chg_2000_2020,pop_2030,pop_2040,pop_2050,pop_chg_2020_2050,households_2000,households_2020,households_chg_2000_2020,avg_household_size_2020,single_household_share_2020,young_2020,working_2020,old_2020,aging_rate_2020,old_2050_raw,aging_rate_2050,social_change,social_change_year,natural_change,natural_change_year,consumption_month,housing_cost_month,consumption_year
23000,愛知県,愛知県,pref,6221638.0,7043300.0,7410719.0,7542415.0,7460000.0,2024,21.228766443820746,7.08637996393735,7345554.0,7049961.0,6676331.0,-11.482847337358127,2522824.0,3233126.0,28.15503578529457,2.292546284926724,36.34937209375694,973642.0,4502713.0,1864603.0,25.4,2304814.0,34.52216494358952,-2181.0,2025,-32155.0,2023,367889.0,23334.0,2025
24000,三重県,三重県,pref,1686936.0,1857339.0,1854724.0,1770254.0,1711000.0,2024,4.939013691094396,-4.68869710914378,1637434.0,1495820.0,1347202.0,-23.89781353410302,635382.0,741183.0,16.651557645636792,2.331459302223607,33.014518681621134,211090.0,997052.0,522073.0,30.2,533699.0,39.615365772913044,-5986.0,2025,-14220.0,2023,302927.0,19161.0,2025
25000,滋賀県,滋賀県,pref,1079898.0,1342832.0,1410777.0,1413610.0,1402000.0,2024,30.902177798273534,5.270800814993981,1376131.0,1309383.0,1222791.0,-13.498701905051602,439370.0,570529.0,29.851605708173068,2.4382862220851176,31.902146954843662,191369.0,824781.0,365311.0,26.4,448816.0,36.704228277767825,353.0,2025,-5706.0,2023,331463.0,18744.0,2025
26000,京都府,京都府,pref,2527330.0,2644391.0,2636092.0,2578087.0,2520000.0,2024,2.008324991196253,-2.5073447912959956,2445192.0,2267021.0,2075975.0,-19.476146460534494,1015468.0,1188903.0,17.079317122745373,2.122761907405398,41.198903527032904,293465.0,1467216.0,734493.0,29.4,799876.0,38.53013644191284,-3753.0,2025,-16853.0,2023,301345.0,16804.0,2025
27000,大阪府,大阪府,pref,8473446.0,8805081.0,8865245.0,8837685.0,8757000.0,2024,4.298593512013893,0.37028620179644367,8437625.0,7874440.0,7263182.0,-17.81578546870589,3454840.0,4126995.0,19.45545958712993,2.0983119679088538,41.849020897771865,1029499.0,5199504.0,2361723.0,27.5,2660053.0,36.62379656739979,15667.0,2025,-49672.0,2023,290595.0,17138.0,2025
28000,兵庫県,兵庫県,pref,5144892.0,5550574.0,5588133.0,5465002.0,5337000.0,2024,6.22189931294963,-1.541678392180701,5145276.0,4767373.0,4357576.0,-20.263963306875276,2035097.0,2399358.0,17.898950271166434,2.232057075267634,35.94757430946112,660205.0,3075863.0,1546543.0,29.3,1720852.0,39.49103813679899,-2102.0,2025,-33556.0,2023,276484.0,22039.0,2025
29000,奈良県,奈良県,pref,1209365.0,1442795.0,1400728.0,1324473.0,1285000.0,2024,9.51805286245262,-8.2008878600217,1214525.0,1083005.0,950365.0,-28.245800405142273,484954.0,543908.0,12.156616916243612,2.3772126903814614,29.270391316178472,154271.0,737675.0,414576.0,31.7,411164.0,43.26379864578346,-1070.0,2025,-10029.0,2023,318894.0,15123.0,2025
30000,和歌山県,和歌山県,pref,1087012.0,1069912.0,1002198.0,922584.0,880000.0,2024,-15.126603938134997,-13.770104457189003,827214.0,728026.0,631619.0,-31.538049651847423,379753.0,393489.0,3.6170879492722907,2.278145005324164,32.50611834130052,105360.0,503704.0,305500.0,33.4,275739.0,43.655906487930224,-2813.0,2025,-9634.0,2023,274374.0,15373.0,2025
31000,鳥取県,鳥取県,pref,604221.0,613289.0,588667.0,553407.0,531000.0,2024,-8.409836798125191,-9.764075338054322,502591.0,454497.0,405528.0,-26.72156297264039,199988.0,219069.0,9.541072464347856,2.4439468843149874,32.2460046834559,68330.0,300002.0,177046.0,32.5,165669.0,40.8526661537551,-2028.0,2025,-5027.0,2023,310194.0,11585.0,2025
32000,島根県,島根県,pref,784795.0,761503.0,717397.0,671126.0,642000.0,2024,-14.483909810842322,-11.868239521052448,610073.0,553085.0,496994.0,-25.94624556342624,256508.0,268462.0,4.660283499929818,2.403490996863616,33.1652151887418,81641.0,352656.0,227881.0,34.4,197369.0,39.7125518617931,-1721.0,2025,-6702.0,2023,321724.0,13686.0,2025
33000,岡山県,岡山県,pref,1871023.0,1950828.0,1945276.0,1888432.0,1831000.0,2024,0.9304535540183068,-3.198436766337165,1774408.0,1646360.0,1510460.0,-20.015123658146017,689733.0,799611.0,15.930512241693528,2.296535440357874,35.63307658348872,229352.0,1032394.0,557991.0,30.7,570385.0,37.762337301219496,-5594.0,2025,-13706.0,2023,303669.0,14928.0,2025
34000,広島県,広島県,pref,2739161.0,2878915.0,2860750.0,2799702.0,2714000.0,2024,2.210202321075694,-2.7514879737678966,2617878.0,2427975.0,2229527.0,-20.365560334635614,1095905.0,1241204.0,13.258357248119124,2.1956116802717363,37.29934805237495,352678.0,1580054.0,811931.0,29.6,833902.0,37.40264190565981,-9921.0,2025,-18881.0,2023,353116.0,17923.0,2025
35000,山口県,山口県,pref,1587079.0,1527964.0,1451338.0,1342059.0,1281000.0,2024,-15.438424930327976,-12.16684424502148,1198870.0,1059424.0,926183.0,-30.987907387082092,582437.0,597309.0,2.55340920992313,2.1660848907349464,36.531845326288405,153608.0,709992.0,459957.0,34.8,392145.0,42.339904748845534,-4907.0,2025,-14064.0,2023,311156.0,16476.0,2025
36000,徳島県,徳島県,pref,825261.0,824108.0,785491.0,719559.0,685000.0,2024,-12.808311552345252,-12.686322666446625,640164.0,560529.0,480669.0,-33.19950136125043,287897.0,307358.0,6.759709201554731,2.2559718634296164,35.64898261961621,77129.0,375657.0,238346.0,34.5,215236.0,44.77842340571162,-2447.0,2025,-7360.0,2023,296750.0,15731.0,2025
37000,香川県,香川県,pref,999864.0,1022890.0,995842.0,950244.0,917000.0,2024,-4.962674923789634,-7.102034431854842,874789.0,800036.0,724120.0,-23.796414394618647,363955.0,406062.0,11.569287411905327,2.2677620658914157,34.43267284306337,113757.0,518056.0,296533.0,31.9,287724.0,39.734298182621664,-2238.0,2025,-8288.0,2023,311675.0,11366.0,2025
38000,愛媛県,愛媛県,pref,1506637.0,1493092.0,1431493.0,1334841.0,1276000.0,2024,-11.402613901025926,-10.598878032967828,1203481.0,1073827.0,944634.0,-29.232470384113164,564959.0,599941.0,6.191953752396184,2.1585955952335314,37.46585080866286,153764.0,711738.0,434279.0,33.4,406346.0,43.01623697643743,-5694.0,2025,-13315.0,2023,284518.0,14846.0,2025
39000,高知県,高知県,pref,831275.0,813949.0,764456.0,691527.0,656000.0,2024,-16.811283871161763,-15.040500080471874,607856.0,527967.0,450980.0,-34.78490355401887,319298.0,314330.0,-1.555913284768462,2.1123119015047878,39.088537524257944,74946.0,362200.0,241787.0,35.6,205649.0,45.60047008736529,-2917.0,2025,-8058.0,2023,296546.0,17560.0,2025
40000,福岡県,福岡県,pref,4553461.0,5015699.0,5071968.0,5135214.0,5092000.0,2024,12.776061988891518,2.3828184267038255,4989131.0,4762029.0,4479021.0,-12.778299015386697,1906862.0,2318479.0,21.586092753434706,2.150654372974696,40.67291530352442,662179.0,2911353.0,1395142.0,28.1,1571247.0,35.0801436296012,5136.0,2025,-28211.0,2023,304083.0,27571.0,2025
41000,佐賀県,佐賀県,pref,865574.0,876654.0,849788.0,811442.0,788000.0,2024,-6.253884705409362,-7.438738658581379,751906.0,687798.0,620873.0,-23.48522753320632,277606.0,311173.0,12.091597443859282,2.511789261921825,30.29825852500056,108241.0,443579.0,246061.0,30.8,243966.0,39.294026314560305,-1151.0,2025,-6055.0,2023,297182.0,16376.0,2025
42000,長崎県,長崎県,pref,1590564.0,1516523.0,1426779.0,1312317.0,1252000.0,2024,-17.493606041630517,-13.465407382545468,1158623.0,1012372.0,868817.0,-33.79518820528882,542985.0,556130.0,2.4208771881359503,2.2652689119450486,34.42900041357236,164303.0,706077.0,430353.0,33.1,377009.0,43.39337282764955,-5608.0,2025,-12067.0,2023,268613.0,15426.0,2025
43000,熊本県,熊本県,pref,1790327.0,1859344.0,1817426.0,1738301.0,1697000.0,2024,-2.9059495835118354,-6.509984166458704,1621541.0,1492907.0,1355329.0,-22.031397324168832,644963.0,716740.0,11.128855453723707,2.3422621871250384,33.89513631163323,228366.0,944198.0,540538.0,31.6,526522.0,38.848279642802595,-2333.0,2025,-13076.0,2023,308262.0,20838.0,2025
44000,大分県,大分県,pref,1228913.0,1221140.0,1196529.0,1123852.0,1085000.0,2024,-8.549099895598788,-7.96698167286306,1031171.0,936394.0,841343.0,-25.137562597210305,451697.0,487679.0,7.965959481687945,2.219217969196951,35.951722341950344,135272.0,596527.0,369192.0,33.5,340708.0,40.4957312297125,-2972.0,2025,-10497.0,2023,279266.0,19396.0,2025
45000,宮崎県,宮崎県,pref,1151587.0,1170007.0,1135233.0,1069576.0,1033000.0,2024,-7.121563546653443,-8.583794797808897,979129.0,888718.0,796631.0,-25.51899070285796,437493.0,468575.0,7.104570815990208,2.198380195272902,35.80558075014672,139773.0,568255.0,344543.0,32.7,325181.0,40.8195262298354,-3024.0,2025,-9710.0,2023,269458.0,13357.0,2025
46000,鹿児島県,鹿児島県,pref,1784623.0,1786194.0,1706242.0,1588256.0,1532000.0,2024,-11.003276322226041,-11.08155105212536,1447792.0,1309427.0,1170602.0,-26.296390506316357,714413.0,725855.0,1.6015945958430144,2.1057525263310164,38.94221297642091,205381.0,832194.0,505891.0,32.8,482627.0,41.228957408239516,-5003.0,2025,-14349.0,2023,307610.0,21225.0,2025
47000,沖縄県,沖縄県,pref,1106559.0,1318220.0,1392818.0,1467480.0,1466000.0,2024,32.61651660688676,11.322844441747204,1458604.0,1438171.0,1391013.0,-5.210769482377953,440095.0,613294.0,39.354912007634724,2.3319468313728815,37.43750957941868,243246.0,871154.0,324708.0,22.6,467696.0,33.622690801595674,-559.0,2025,-2561.0,2023,240265.0,28534.0,2025
